,mean,sd,hpd_3%,hpd_97%
αK[33],0.037,0.011,0.016,0.056
αK[34],0.653,0.156,0.358,0.905
αK[35],0.651,0.186,0.308,0.943
αK[36],0.767,0.153,0.484,0.983
αK[37],0.775,0.16,0.484,0.99
αK[38],0.301,0.082,0.156,0.456
αK[39],0.071,0.021,0.035,0.108
αK[40],0.043,0.01,0.024,0.06
αK[41],0.478,0.139,0.215,0.735
αK[42],0.636,0.158,0.347,0.914
αK[43],0.672,0.181,0.35,0.967
αK[44],0.53,0.135,0.294,0.783
αK[45],0.703,0.154,0.413,0.951
αK[46],0.45,0.113,0.236,0.649
αK[47],0.709,0.151,0.424,0.948
αK[48],0.74,0.161,0.44,0.972
αK[49],0.729,0.172,0.398,0.969
αK[50],0.157,0.07,0.054,0.288
αK[51],0.62,0.135,0.385,0.87
αK[52],0.015,0.008,0.003,0.028
αK[53],0.763,0.158,0.472,0.978
αK[54],0.511,0.139,0.244,0.766
αK[55],0.142,0.033,0.086,0.206
αK[56],0.327,0.074,0.195,0.462
αK[57],0.665,0.15,0.405,0.927
αJK[0],0.73,0.154,0.442,0.951
αJK[1],0.507,0.118,0.291,0.726
αJK[2],0.649,0.159,0.357,0.913
αJK[3],0.667,0.148,0.401,0.909
αJK[4],0.734,0.156,0.44,0.968
αJK[5],0.646,0.156,0.34,0.897
αJK[6],0.779,0.155,0.483,0.987
αJK[7],0.719,0.166,0.393,0.957
αJK[8],0.708,0.15,0.431,0.944
αJK[9],0.62,0.151,0.348,0.896
αJK[10],0.64,0.174,0.33,0.934
αJK[11],0.093,0.019,0.061,0.126
αJK[12],0.553,0.127,0.312,0.774
αJK[13],0.651,0.157,0.344,0.901
αJK[14],0.112,0.024,0.071,0.157
αJK[15],0.402,0.108,0.193,0.602
αJK[16],0.619,0.157,0.318,0.883
αJK[17],0.725,0.147,0.454,0.949
αJK[18],0.631,0.137,0.355,0.863
αJK[19],0.078,0.017,0.048,0.109
αJK[20],0.715,0.158,0.438,0.98
αJK[21],0.74,0.161,0.444,0.976
αJK[22],0.64,0.161,0.331,0.894
αJK[23],0.746,0.147,0.454,0.96
αJK[24],0.657,0.176,0.337,0.938
αJK[25],0.718,0.139,0.448,0.937
αJK[26],0.737,0.156,0.435,0.963
αJK[27],0.634,0.143,0.373,0.903
αJK[28],0.319,0.111,0.134,0.535
αJK[29],0.041,0.006,0.029,0.054
αJK[30],0.73,0.159,0.444,0.978
αJK[31],0.466,0.138,0.212,0.713
αJK[32],0.553,0.133,0.286,0.784
αJK[33],0.048,0.009,0.033,0.065
αJK[34],0.497,0.138,0.255,0.759
αJK[35],0.507,0.165,0.219,0.814
αJK[36],0.59,0.154,0.3,0.864
αJK[37],0.519,0.123,0.279,0.732
αJK[38],0.353,0.106,0.166,0.539
αJK[39],0.041,0.005,0.031,0.051
αJK[40],0.269,0.113,0.077,0.474
αJK[41],0.536,0.146,0.257,0.793
αJK[42],0.611,0.152,0.354,0.897
