,Simulated_αA,Recovered_αA,Simulated_αAB,Recovered_αAB,Simulated_αABC,Recovered_αABC,Simulated_αR,Recovered_αR,Simulated_αB,Recovered_αB,Simulated_αC,Recovered_αC,Simulated_αBC,Recovered_αBC,Simulated_αG,Recovered_αG,Simulated_αH,Recovered_αH,Simulated_αJ,Recovered_αJ,Simulated_αK,Recovered_αK,Simulated_αJK,Recovered_αJK,Simulated_αT,Recovered_αT,Simulated_αTJ,Recovered_αTJ,Simulated_αTJK,Recovered_αTJK
4,0.5571201393111347,0.5570635999872846,0.5265556306974717,0.526533703333246,0.5487811170713603,0.5486775960658071,0.17614994701861325,0.17616619638562905,0.945754423184615,0.9457859925041171,0.5330949617633454,0.5332001664370853,0.21200133735219243,0.21199282644747713,0.6204805248140556,0.6204737731612123,0.6843188435138774,0.6840947686865869,0.3035749017969694,0.3034822445772019,0.27152850645543486,0.2714332712985401,0.8730275269304106,0.8729963154223208,0.19338133642832223,0.1934509995477418,0.5235368145310929,0.5235192298554283,0.7338957046232095,0.7339913049481376
5,0.264015326744018,0.26395106783048483,0.6678795812330854,0.6678894524723057,0.29134651264244155,0.2914448917620116,0.33569882289908703,0.3356844841386827,0.920242435811726,0.9203871955660765,0.9414822587931907,0.9414857092560799,0.4052053196238344,0.4050518317825823,0.44679221478122916,0.4466662297667304,0.6057070439978729,0.6054846018140355,0.13658900089180118,0.13661521691177117,0.6073618549573904,0.6074201912004861,0.24275544766204574,0.24280797354985917,0.5981679059633183,0.5983987177810463,0.41802892341747777,0.41814123073703197,0.4273266132101117,0.4274790496812171
6,0.6731030084184095,0.6729350711116728,0.29436233557438213,0.29439305725449444,0.5815659742728322,0.5817024112218112,0.4808797227037601,0.4808997394741712,0.3948965751315373,0.3949152129922103,0.5880754000559985,0.5880168091312855,0.54582239208472,0.5457503930490278,0.8510877180840418,0.851271184548515,0.37624282749445953,0.37647729600455615,0.5822343364895315,0.5824303491551093,0.7641566695161263,0.7642884581572476,0.25350089556194855,0.2534015307506495,0.6211169690392383,0.6212380410823797,0.3455403146431309,0.3455834969594842,0.10710762098351823,0.10716345780275403
7,0.5624110286396495,0.5622071410703133,0.14895239005643254,0.14899184212995858,0.4519962001175575,0.4518870408651008,0.3738307061290132,0.37395281574954664,0.4781943469429217,0.47809966781418933,0.7784993683936832,0.7785069798056594,0.6115246405065895,0.6115581553971562,0.3459427992725225,0.3461780308574623,0.5231039702240751,0.5231465632257627,0.6899987094569114,0.68990850473935,0.7733698736602255,0.7733867978303786,0.17053474120864381,0.17054040134092366,0.5072486169435043,0.5072661274019993,0.25196382195381245,0.25200041263077344,0.8601219698894677,0.8600100217365061
8,0.1448138032406301,0.14469840369220002,0.6533898895071444,0.6535043985094792,0.1709578939643413,0.17098260203279128,0.5211348209864328,0.5214025575522038,0.02786511454477295,0.0278659813471379,0.4688153086017199,0.46877847564813696,0.4417190808474538,0.44172629656957574,0.20591368299686003,0.20603311561553156,0.12407515633104729,0.12408247353121334,0.2817211706167842,0.2817030844625008,0.6950729075843415,0.6948730456474282,0.6591243855402366,0.6591628440389945,0.22879419731688738,0.22874316038667755,0.49452590762097964,0.4947157646594961,0.8141941827319527,0.8143452921143851
9,0.09165605854262178,0.09161185359543586,0.7756928669006091,0.7749847701466426,0.26540823041533806,0.2628427497345839,0.6307373635171969,0.6309075171397769,0.4082441145452281,0.40228151981641985,0.5140616546146687,0.5210927205038596,0.01803009072531732,0.018140478755760796,0.6706095498897374,0.6707276816052443,0.48872398186470106,0.4889822893775861,0.8264977030246687,0.8266500142040042,0.46196064763429706,0.46172811139217546,0.3868311867391794,0.3867059187365127,0.4774058083100952,0.47719482165535737,0.4878724675950873,0.4879793413551312,0.5830251255251321,0.5831113892834046
10,0.7411646499919148,0.7410917860218413,0.5212877749779622,0.5214580913380711,0.38962511997355087,0.3895221644683439,0.19193750029634968,0.19191667698007098,0.17768699033669313,0.17772594851914983,0.510189590420713,0.510147025196227,0.8082125399920088,0.8080861820089272,0.6433503865976415,0.6436216864201733,0.5909349623003258,0.5911689809512466,0.7118723811569859,0.7118762587747253,0.5623305868261321,0.5622494651539595,0.9168910442736472,0.9168709278922315,0.8541618186236242,0.8541668214722794,0.5035875141772843,0.5034157418151252,0.46659927879147467,0.46671274062716267
11,0.8573601859262915,0.8573038633268929,0.639936348309847,0.6400282529484684,0.8227084112303824,0.8227755888181538,0.3566883204260704,0.3566964148428593,0.4823925951788923,0.48259109307339054,0.14302168081364483,0.1431124098229514,0.3575216031744669,0.357488558718154,0.4517737220561235,0.4518214050927105,0.5379966341039804,0.5380726218222265,0.1520288745804506,0.15210903005472312,0.28014560531854643,0.2800891460937336,0.4993952893566737,0.49925494957348493,0.19297429860213752,0.19307160699295753,0.16073023369229417,0.1607236860333984,0.20931210060822047,0.20940185245039702
12,0.14135072988848513,0.14132082649196592,0.3085398488630555,0.3084766551258761,0.6899486568824851,0.6897460268035412,0.589434887598804,0.5894536460952946,0.4993568316634651,0.4993251714506581,0.7014707709220808,0.7014614577955246,0.916273269726772,0.9163733591048886,0.37909603347108134,0.37921060106919646,0.5243247076887769,0.524232798519084,0.2547535024601162,0.2547216361687392,0.7984161154036175,0.7987057099907456,0.2972879960353288,0.2974798684915004,0.37877546935731116,0.3789138260517479,0.2789030808950102,0.27888414519226895,0.9446312488057863,0.944500832209705
13,0.3962714109553964,0.39638673824056864,0.5352548649123888,0.5353199418328917,0.8023198991373288,0.8022610927183051,0.5714051806518389,0.5714999585775407,0.6394413795595382,0.6394107556204573,0.5948049000751543,0.5950059185761633,0.7174591443904932,0.7175721844243322,0.5501724144818195,0.5500809475984204,0.5540876903845698,0.5539804336384208,0.4787032779050278,0.4788632075060598,0.4369251514788463,0.437021401946315,0.2975430306520919,0.29746816567387224,0.8783488845349168,0.8782716045151161,0.47221882210332466,0.47224380077803835,0.7728440990582186,0.7729759600971996
