,mean,sd,hpd_3%,hpd_97%
αUMN[49],0.496,0.249,0.067,0.912
αUMN[50],0.317,0.211,0.016,0.7
αUMN[51],0.196,0.112,0.035,0.403
αUMN[52],0.79,0.145,0.545,0.992
αUMN[53],0.746,0.164,0.439,0.981
αUMN[54],0.77,0.15,0.481,0.974
αUMN[55],0.224,0.071,0.116,0.38
αUMN[56],0.79,0.145,0.513,0.983
αUMN[57],0.796,0.148,0.515,0.994
αUMN[58],0.067,0.032,0.017,0.121
αUMN[59],0.778,0.138,0.522,0.975
αUMN[60],0.818,0.144,0.552,0.992
αUMN[61],0.236,0.094,0.083,0.415
αUMN[62],0.789,0.149,0.506,0.981
αUMN[63],0.513,0.176,0.178,0.817
αUMN[64],0.731,0.147,0.472,0.968
αUMN[65],0.782,0.158,0.468,0.987
αUMN[66],0.584,0.254,0.133,0.98
