,mean,sd,hpd_3%,hpd_97%
αF[12],0.364,0.134,0.107,0.591
αF[13],0.162,0.073,0.043,0.3
αF[14],0.421,0.208,0.077,0.79
αF[15],0.103,0.058,0.025,0.213
αF[16],0.117,0.07,0.017,0.247
αF[17],0.021,0.019,0.002,0.054
αF[18],0.071,0.064,0.004,0.187
αF[19],0.09,0.021,0.053,0.127
αF[20],0.544,0.138,0.299,0.779
αF[21],0.147,0.075,0.03,0.283
αF[22],0.824,0.143,0.536,0.996
αF[23],0.814,0.154,0.53,0.996
αF[24],0.097,0.087,0.005,0.266
αF[25],0.082,0.058,0.011,0.185
αF[26],0.159,0.124,0.013,0.377
αF[27],0.065,0.016,0.038,0.096
αF[28],0.046,0.048,0.002,0.123
αF[29],0.052,0.043,0.003,0.124
αF[30],0.736,0.154,0.454,0.972
αF[31],0.349,0.152,0.092,0.628
αF[32],0.012,0.012,0.001,0.033
αF[33],0.102,0.052,0.022,0.197
αF[34],0.023,0.021,0.002,0.059
αF[35],0.697,0.156,0.42,0.966
αF[36],0.705,0.128,0.473,0.928
αF[37],0.346,0.2,0.026,0.702
αF[38],0.534,0.19,0.195,0.875
αF[39],0.809,0.157,0.502,0.998
αF[40],0.404,0.181,0.107,0.74
αF[41],0.374,0.112,0.171,0.577
αF[42],0.195,0.129,0.015,0.427
αF[43],0.525,0.173,0.235,0.86
αF[44],0.031,0.024,0.004,0.074
αF[45],0.164,0.088,0.033,0.327
αF[46],0.68,0.165,0.382,0.952
αF[47],0.756,0.156,0.449,0.981
αF[48],0.547,0.136,0.289,0.783
αF[49],0.03,0.033,0.001,0.086
αF[50],0.039,0.026,0.006,0.087
αF[51],0.079,0.068,0.003,0.207
αF[52],0.71,0.156,0.39,0.934
αF[53],0.25,0.118,0.064,0.478
αF[54],0.747,0.14,0.484,0.955
αF[55],0.031,0.035,0.001,0.086
αF[56],0.775,0.149,0.492,0.981
αF[57],0.768,0.149,0.49,0.976
αF[58],0.122,0.04,0.058,0.201
αF[59],0.657,0.154,0.392,0.94
αF[60],0.82,0.126,0.593,0.992
αF[61],0.213,0.075,0.079,0.352
αF[62],0.296,0.089,0.131,0.456
αF[63],0.038,0.021,0.009,0.077
αF[64],0.828,0.136,0.564,0.99
αF[65],0.8,0.166,0.469,0.995
αF[66],0.656,0.167,0.359,0.952
αEF[0],0.072,0.033,0.023,0.135
αEF[1],0.756,0.145,0.495,0.974
αEF[2],0.768,0.146,0.491,0.976
αEF[3],0.735,0.168,0.41,0.967
αEF[4],0.178,0.039,0.108,0.252
αEF[5],0.329,0.064,0.213,0.445
αEF[6],0.114,0.032,0.056,0.172
αEF[7],0.808,0.132,0.542,0.987
αEF[8],0.171,0.03,0.122,0.232
αEF[9],0.344,0.057,0.235,0.447
αEF[10],0.047,0.025,0.012,0.092
αEF[11],0.155,0.026,0.111,0.202
αEF[12],0.131,0.022,0.088,0.171
αEF[13],0.335,0.055,0.239,0.445
αEF[14],0.258,0.038,0.189,0.33
αEF[15],0.153,0.031,0.098,0.209
αEF[16],0.106,0.032,0.049,0.162
αEF[17],0.563,0.201,0.215,0.914
αEF[18],0.079,0.034,0.024,0.144
αEF[19],0.887,0.103,0.71,0.998
αEF[20],0.79,0.141,0.526,0.981
αEF[21],0.154,0.029,0.099,0.209
αEF[22],0.826,0.143,0.528,0.99
αEF[23],0.787,0.167,0.46,0.996
