ID,Stimulus,trialseq,DV,R,s,T,u,R_abs,T_abs,US,Test
102,R,68,2.983539095,1,0,0,0,0,0,0,0
102,T,69,2.983539095,0,0,1,0,0,0,0,0
102,Rs,70,3.547325103,1,1,0,0,0,0,0,0
102,s,71,1.633744856,0,1,0,0,1,0,0,0
102,u,72,1.403292181,0,0,0,1,0,1,0,0
102,u,73,1.609053498,0,0,0,1,0,1,0,0
102,Rs,74,3.296296296,1,1,0,0,0,0,0,0
102,Tu,75,4.222222222,0,0,1,1,0,0,0,0
102,R,76,2.58436214,1,0,0,0,0,0,0,0
102,s,77,2.304526749,0,1,0,0,1,0,0,0
102,Ru,78,2.983539095,1,0,0,1,0,0,0,0
102,Ts,79,2.930041152,0,1,1,0,0,0,0,0
102,T,80,2.975308642,0,0,1,0,0,0,0,0
103,u,1,1.205761317,0,0,0,1,0,0,0,1
103,u,2,1.032921811,0,0,0,1,0,0,1,1
103,Tu,3,2.983539095,0,0,1,1,0,0,0,1
103,Tu,4,2.983539095,0,0,1,1,0,0,1,1
103,u,5,1.004115226,0,0,0,1,0,1,1,1
103,u,6,3.037037037,0,0,0,1,0,1,0,1
103,Tu,7,1.008230453,0,0,1,1,0,0,1,1
103,Tu,8,3.082304527,0,0,1,1,0,0,1,1
103,Tu,9,3.082304527,0,0,1,1,0,0,1,1
103,u,10,1.016460905,0,0,0,1,0,1,0,1
103,u,11,1.016460905,0,0,0,1,0,1,0,1
103,Tu,12,3.860082305,0,0,1,1,0,0,1,1
103,Tu,13,3.090534979,0,0,1,1,0,0,1,1
103,Tu,14,3.967078189,0,0,1,1,0,0,1,1
103,u,15,1,0,0,0,1,0,1,0,1
103,u,16,1.016460905,0,0,0,1,0,1,0,1
103,u,17,1.024691358,0,0,0,1,0,1,0,1
103,Tu,18,3.893004115,0,0,1,1,0,0,0,1
103,Tu,19,3.004115226,0,0,1,1,0,0,1,1
103,u,20,1.04526749,0,0,0,1,0,1,1,1
103,Tu,21,3.880658436,0,0,1,1,0,0,0,1
103,u,22,1.069958848,0,0,0,1,0,1,0,1
103,u,23,1.069958848,0,0,0,1,0,1,0,1
103,Tu,24,3.102880658,0,0,1,1,0,0,1,1
103,s,25,3.016460905,0,1,0,0,0,0,0,1
103,s,26,3.020576132,0,1,0,0,0,0,0,1
103,Rs,27,3.020576132,1,1,0,0,0,0,1,1
103,Rs,28,3.860082305,1,1,0,0,0,0,1,1
103,Rs,29,3.806584362,1,1,0,0,0,0,1,1
103,Rs,30,4.12345679,1,1,0,0,0,0,0,1
103,s,31,1.588477366,0,1,0,0,1,0,0,1
103,s,32,1.432098765,0,1,0,0,1,0,1,1
103,s,33,3.028806584,0,1,0,0,1,0,0,1
103,Rs,34,3.300411523,1,1,0,0,0,0,1,1
103,Rs,35,3.679012346,1,1,0,0,0,0,1,1
103,s,36,3.987654321,0,1,0,0,1,0,1,1
103,s,37,3.987654321,0,1,0,0,1,0,0,1
103,s,38,1.843621399,0,1,0,0,1,0,0,1
103,Rs,39,3,1,1,0,0,0,0,1,1
103,Rs,40,4.04526749,1,1,0,0,0,0,0,1
103,Rs,41,2.897119342,1,1,0,0,0,0,1,1
103,s,42,3,0,1,0,0,1,0,0,1
103,Rs,43,3.0781893,1,1,0,0,0,0,1,1
103,s,44,3.884773663,0,1,0,0,1,0,0,1
103,s,45,1.621399177,0,1,0,0,1,0,1,1
103,s,46,3.683127572,0,1,0,0,1,0,0,1
103,Rs,47,2.868312757,1,1,0,0,0,0,1,1
103,Rs,48,3.823045267,1,1,0,0,0,0,0,1
103,Rs,49,2.333333333,1,1,0,0,0,0,0,1
103,u,50,1.049382716,0,0,0,1,0,1,1,1
103,Tu,51,3.827160494,0,0,1,1,0,0,1,1
103,u,52,4.004115226,0,0,0,1,0,1,0,1
103,s,53,1.024691358,0,1,0,0,1,0,0,1
103,Rs,54,2.913580247,1,1,0,0,0,0,1,1
103,s,55,3.794238683,0,1,0,0,1,0,0,1
103,Tu,56,2.119341564,0,0,1,1,0,0,1,1
103,u,57,3.777777778,0,0,0,1,0,1,0,1
103,u,58,1.29218107,0,0,0,1,0,1,0,1
103,Rs,59,2.209876543,1,1,0,0,0,0,1,1
103,Tu,60,3.884773663,0,0,1,1,0,0,1,1
103,Tu,61,3.082304527,0,0,1,1,0,0,0,1
103,s,62,2.119341564,0,1,0,0,1,0,1,1
103,Rs,63,4.41563786,1,1,0,0,0,0,1,1
103,s,64,4.061728395,0,1,0,0,1,0,0,1
103,u,65,1.144032922,0,0,0,1,0,1,0,0
103,s,66,1.152263374,0,1,0,0,1,0,0,0
103,T,67,3.020576132,0,0,1,0,0,0,0,0
103,R,68,3.004115226,1,0,0,0,0,0,0,0
103,Tu,69,4.024691358,0,0,1,1,0,0,0,0
103,Rs,70,4.024691358,1,1,0,0,0,0,0,0
103,Ru,71,4.028806584,1,0,0,1,0,0,0,0
103,Ts,72,4.028806584,0,1,1,0,0,0,0,0
103,Ts,73,4.028806584,0,1,1,0,0,0,0,0
103,u,74,1.296296296,0,0,0,1,0,1,0,0
103,Rs,75,3.835390947,1,1,0,0,0,0,0,0
103,R,76,1.70781893,1,0,0,0,0,0,0,0
103,Ru,77,3.979423868,1,0,0,1,0,0,0,0
103,s,78,1.50617284,0,1,0,0,1,0,0,0
103,T,79,1.938271605,0,0,1,0,0,0,0,0
103,Tu,80,3.905349794,0,0,1,1,0,0,0,0
104,s,1,2.944973545,0,1,0,0,0,0,0,1
104,Rs,2,2.940740741,1,1,0,0,0,0,1,1
104,s,3,1.082539683,0,1,0,0,1,0,0,1
104,Rs,4,4.887830688,1,1,0,0,0,0,1,1
104,s,5,1.112169312,0,1,0,0,1,0,0,1
104,Rs,6,4.947089947,1,1,0,0,0,0,1,1
104,s,7,1.06984127,0,1,0,0,1,0,1,1
104,Rs,8,4.883597884,1,1,0,0,0,0,0,1
104,s,9,1.078306878,0,1,0,0,1,0,0,1
104,Rs,10,4.633862434,1,1,0,0,0,0,1,1
104,Rs,11,4.574603175,1,1,0,0,0,0,0,1
104,s,12,1.103703704,0,1,0,0,1,0,0,1
104,s,13,1.383068783,0,1,0,0,1,0,1,1
104,Rs,14,4.468783069,1,1,0,0,0,0,1,1
104,Rs,15,4.917460317,1,1,0,0,0,0,0,1
104,s,16,1.052910053,0,1,0,0,1,0,0,1
104,s,17,1.107936508,0,1,0,0,1,0,0,1
104,Rs,18,4.362962963,1,1,0,0,0,0,1,1
104,s,19,1.04021164,0,1,0,0,1,0,0,1
104,Rs,20,4.51957672,1,1,0,0,0,0,1,1
104,Rs,21,4.413756614,1,1,0,0,0,0,1,1
104,s,22,1.26031746,0,1,0,0,1,0,0,1
104,Rs,23,4.48994709,1,1,0,0,0,0,1,1
104,s,24,1.903703704,0,1,0,0,1,0,1,1
104,u,25,2.33968254,0,0,0,1,0,0,1,1
104,Tu,26,3.66031746,0,0,1,1,0,0,1,1
104,Tu,27,3.808465608,0,0,1,1,0,0,1,1
104,u,28,2.144973545,0,0,0,1,0,1,0,1
104,Tu,29,4.439153439,0,0,1,1,0,0,0,1
104,u,30,1.653968254,0,0,0,1,0,1,1,1
104,Tu,31,4.185185185,0,0,1,1,0,0,1,1
104,u,32,1.484656085,0,0,0,1,0,1,0,1
104,u,33,1.882539683,0,0,0,1,0,1,0,1
104,Tu,34,4.807407407,0,0,1,1,0,0,1,1
