Trial,Mean,Low,High,SE,Stimulus
7,NaN,NaN,NaN,NaN,EF-2
8,NaN,NaN,NaN,NaN,EF-2
9,NaN,NaN,NaN,NaN,EF-2
10,NaN,NaN,NaN,NaN,EF-2
11,NaN,NaN,NaN,NaN,EF-2
12,NaN,NaN,NaN,NaN,EF-2
13,NaN,NaN,NaN,NaN,EF-2
14,NaN,NaN,NaN,NaN,EF-2
15,NaN,NaN,NaN,NaN,EF-2
16,NaN,NaN,NaN,NaN,EF-2
17,NaN,NaN,NaN,NaN,EF-2
18,NaN,NaN,NaN,NaN,EF-2
19,NaN,NaN,NaN,NaN,EF-2
20,NaN,NaN,NaN,NaN,EF-2
21,NaN,NaN,NaN,NaN,EF-2
22,NaN,NaN,NaN,NaN,EF-2
23,NaN,NaN,NaN,NaN,EF-2
24,NaN,NaN,NaN,NaN,EF-2
25,NaN,NaN,NaN,NaN,EF-2
26,NaN,NaN,NaN,NaN,EF-2
27,NaN,NaN,NaN,NaN,EF-2
28,NaN,NaN,NaN,NaN,EF-2
29,NaN,NaN,NaN,NaN,EF-2
30,NaN,NaN,NaN,NaN,EF-2
31,2.875253974,2.679693928,3.070814021,0.195560047,EF-2
32,2.78819008,2.591028683,2.985351477,0.197161397,EF-2
33,2.701126186,2.502363439,2.899888933,0.198762747,EF-2
34,2.614062292,2.413698194,2.814426389,0.200364098,EF-2
35,2.675936553,2.4777315,2.874141605,0.198205053,EF-2
36,2.737810814,2.541764806,2.933856822,0.196046008,EF-2
37,2.799685075,2.605798112,2.993572038,0.193886963,EF-2
38,NaN,NaN,NaN,NaN,EF-2
39,NaN,NaN,NaN,NaN,EF-2
1,3.355574361,3.232883359,3.478265363,0.122691002,E+
2,4.211906195,4.066397202,4.357415188,0.145508993,E+
3,4.263680258,4.121893326,4.405467191,0.141786932,E+
4,4.180498309,4.025817073,4.335179544,0.154681236,E+
5,4.268075342,4.118600057,4.417550627,0.149475285,E+
6,3.875416305,3.739688293,4.011144316,0.135728011,E+
7,4.045814897,3.891192227,4.200437567,0.15462267,E+
8,4.060354123,3.905145722,4.215562524,0.155208401,E+
9,3.966105879,3.797647751,4.134564007,0.168458128,E+
10,3.857027151,3.671465449,4.042588853,0.185561702,E+
11,4.006450854,3.851017342,4.161884367,0.155433513,E+
12,3.985347585,3.821495851,4.149199319,0.163851734,E+
13,3.964244316,3.791974361,4.13651427,0.172269955,E+
14,3.945436514,3.773706695,4.117166334,0.17172982,E+
15,3.926628713,3.755439028,4.097818397,0.171189684,E+
16,4.058813594,3.893239115,4.224388073,0.165574479,E+
17,4.190998475,4.031039201,4.35095775,0.159959274,E+
18,4.097100561,3.93406248,4.260138642,0.163038081,E+
19,4.003202647,3.837085759,4.169319535,0.166116888,E+
20,NaN,NaN,NaN,NaN,E+
21,NaN,NaN,NaN,NaN,E+
22,NaN,NaN,NaN,NaN,E+
23,NaN,NaN,NaN,NaN,E+
24,NaN,NaN,NaN,NaN,E+
25,NaN,NaN,NaN,NaN,E+
26,NaN,NaN,NaN,NaN,E+
27,NaN,NaN,NaN,NaN,E+
28,NaN,NaN,NaN,NaN,E+
29,NaN,NaN,NaN,NaN,E+
30,NaN,NaN,NaN,NaN,E+
31,NaN,NaN,NaN,NaN,E+
32,NaN,NaN,NaN,NaN,E+
33,NaN,NaN,NaN,NaN,E+
34,NaN,NaN,NaN,NaN,E+
35,NaN,NaN,NaN,NaN,E+
36,NaN,NaN,NaN,NaN,E+
37,NaN,NaN,NaN,NaN,E+
38,NaN,NaN,NaN,NaN,E+
39,NaN,NaN,NaN,NaN,E+
1,3.323240259,3.203745043,3.442735474,0.119495216,F+
2,4.186164837,4.048915399,4.323414275,0.137249438,F+
3,4.27043415,4.129041443,4.411826858,0.141392708,F+
4,4.34453999,4.214047654,4.475032325,0.130492336,F+
5,4.314090059,4.168333083,4.459847036,0.145756977,F+
6,3.93432598,3.794283765,4.074368195,0.140042215,F+
7,4.105157664,3.959657371,4.250657958,0.145500293,F+
8,4.155078303,4.011220413,4.298936192,0.14385789,F+
9,4.229126064,4.091164206,4.367087922,0.137961858,F+
10,4.027213622,3.868072475,4.186354769,0.159141147,F+
11,4.102303943,3.96077567,4.243832215,0.141528272,F+
12,4.157418749,4.014115731,4.300721767,0.143303018,F+
13,4.212533556,4.067455792,4.35761132,0.145077764,F+
14,4.31596165,4.186408715,4.445514586,0.129552935,F+
15,4.419389745,4.305361639,4.533417852,0.114028106,F+
16,4.334555266,4.204394384,4.464716148,0.130160882,F+
17,4.249720787,4.103427129,4.396014445,0.146293658,F+
18,4.276596162,4.138017045,4.415175279,0.138579117,F+
19,4.303471537,4.172606961,4.434336113,0.130864576,F+
20,NaN,NaN,NaN,NaN,F+
21,NaN,NaN,NaN,NaN,F+
22,NaN,NaN,NaN,NaN,F+
23,NaN,NaN,NaN,NaN,F+
24,NaN,NaN,NaN,NaN,F+
25,NaN,NaN,NaN,NaN,F+
26,NaN,NaN,NaN,NaN,F+
27,NaN,NaN,NaN,NaN,F+
28,NaN,NaN,NaN,NaN,F+
29,NaN,NaN,NaN,NaN,F+
30,NaN,NaN,NaN,NaN,F+
31,NaN,NaN,NaN,NaN,F+
32,NaN,NaN,NaN,NaN,F+
33,NaN,NaN,NaN,NaN,F+
34,NaN,NaN,NaN,NaN,F+
35,NaN,NaN,NaN,NaN,F+
36,NaN,NaN,NaN,NaN,F+
37,NaN,NaN,NaN,NaN,F+
38,NaN,NaN,NaN,NaN,F+
39,NaN,NaN,NaN,NaN,F+
1,NaN,NaN,NaN,NaN,F+2
2,NaN,NaN,NaN,NaN,F+2
3,NaN,NaN,NaN,NaN,F+2
4,NaN,NaN,NaN,NaN,F+2
5,NaN,NaN,NaN,NaN,F+2
6,NaN,NaN,NaN,NaN,F+2
