,Simulated_α,Recovered_α,Simulated_ί_P,Recovered_ί_P,Simulated_ί_Pabs,Recovered_ί_Pabs,Simulated_ί_N,Recovered_ί_N,,,,,,,,
15,0.680918963,0.67791345,0.216458225,0.22091418,0.438695887,0.450248596,0.39203867,0.39612421,,,,,,,,
16,0.319335067,0.318603294,0.374067759,0.376315281,0.372861327,0.374641433,0.324903797,0.32611513,,,,,,,,
17,0.505986452,0.505862592,0.606554119,0.607131138,0.606913211,0.606870089,0.37828706,0.378059532,,,,,,,,
18,0.140450613,0.142427009,0.482809735,0.430267942,0.746188355,0.613979917,0.506399536,0.492323711,,,,,,,,
19,0.534010736,0.530627313,0.238944743,0.24444194,0.625697481,0.649293512,0.654869634,0.666145177,,,,,,,,
20,0.295959179,0.296496482,0.532653222,0.533227975,0.688457519,0.688021046,0.041221335,0.04110703,,,,,,,,
21,0.353120054,0.352620543,0.590722462,0.590716583,0.630699477,0.631404968,0.499104088,0.49928265,,,,,,,,
22,0.787862353,0.781379553,0.173823652,0.176680703,0.254468285,0.260205497,0.765815687,0.800046775,,,,,,,,
23,0.835301792,0.835473452,0.950177898,0.950956725,0.359032136,0.359904643,0.647299817,0.64864574,,,,,,,,
24,0.665314081,0.664959232,0.622630277,0.623313009,0.777421547,0.778827275,0.49415541,0.493594815,,,,,,,,
25,0.814157199,0.808500627,0.167920315,0.17137938,0.238083865,0.243157669,0.722522971,0.750966,,,,,,,,
26,0.322245198,0.321669687,0.852550777,0.860785168,0.062077639,0.062435768,0.470441933,0.475002577,,,,,,,,
27,0.421006509,0.420968521,0.872008157,0.871862578,0.682756249,0.683571614,0.611620047,0.61203202,,,,,,,,
28,0.171301176,0.173668018,0.567418599,0.520005801,0.741012997,0.642975365,0.1907644,0.187070292,,,,,,,,
29,0.70709438,0.70690567,0.458691142,0.459633037,0.570737275,0.571107384,0.301514575,0.301656706,,,,,,,,
30,0.243809583,0.244326221,0.357380675,0.352964619,0.715953835,0.704286262,0.220009887,0.219282871,,,,,,,,
31,0.58626049,0.586237615,0.2636682,0.263928361,0.167982517,0.168348679,0.409873464,0.410952882,,,,,,,,
32,0.10704303,0.10800577,0.514720412,0.433978846,0.783507046,0.559088243,0.666452041,0.653932183,,,,,,,,
33,0.283644323,0.282802046,0.092418094,0.093611833,0.842899281,0.857060886,0.633548917,0.637672593,,,,,,,,
34,0.123653536,0.124005541,0.534614878,0.51567128,0.314606736,0.286378487,0.911936537,0.899160727,,,,,,,,
35,0.528871808,0.525163327,0.162065428,0.16586031,0.20766573,0.213693877,0.528539145,0.537382662,,,,,,,,
36,0.443957625,0.443981741,0.662270995,0.662615994,0.21431996,0.214949601,0.557089812,0.559754053,,,,,,,,
37,0.13811965,0.138935878,0.512837639,0.474122033,0.611963314,0.533026757,0.499678939,0.489619834,,,,,,,,
38,0.467978113,0.467929533,0.713050807,0.713028856,0.699929443,0.70077157,0.438691651,0.438325306,,,,,,,,
39,0.349264552,0.349261882,0.812044993,0.811811274,0.700694201,0.70004292,0.691052052,0.69138254,,,,,,,,
40,0.197967531,0.199166088,0.414085805,0.398960965,0.65506921,0.616598487,0.593059964,0.582670158,,,,,,,,
41,0.85748422,0.857337934,0.790795557,0.791104455,0.457375436,0.456891285,0.160424641,0.160325968,,,,,,,,
42,0.36209698,0.361446885,0.911036052,0.910555627,0.625040742,0.625035621,0.64760157,0.647863913,,,,,,,,
43,0.211504029,0.210747819,0.36261949,0.368237114,0.286213246,0.293979909,0.630549642,0.635717275,,,,,,,,
44,0.757818647,0.757156077,0.595473054,0.597045408,0.111240399,0.111175936,0.108090271,0.108612031,,,,,,,,
45,0.584258236,0.584544055,0.856241304,0.856839781,0.763235176,0.762953458,0.913151545,0.9125251,,,,,,,,
46,0.756023116,0.745783435,0.139089977,0.146278562,0.230949849,0.244991469,0.288474483,0.295326276,,,,,,,,
47,0.534183716,0.513823777,0.119869202,0.136936433,0.402760607,0.487245177,0.712815981,0.796913979,,,,,,,,
48,0.612707487,0.607803673,0.142260977,0.145190035,0.762604626,0.792417419,0.128070368,0.129508598,,,,,,,,
49,0.086303957,0.086528677,0.578594387,0.471869529,0.699563419,0.377954535,0.303865375,0.305949717,,,,,,,,
50,0.43823535,0.438389564,0.413982074,0.413895645,0.544884495,0.54666047,0.592814967,0.594422624,,,,,,,,
51,0.726907295,0.727072198,0.772684245,0.773538006,0.516083275,0.517156894,0.340062178,0.340876515,,,,,,,,
52,0.379189282,0.375849147,0.2348356,0.243245587,0.569903004,0.600857702,0.637254744,0.650934797,,,,,,,,
53,0.89936775,0.895772468,0.167225056,0.169352904,0.517600949,0.529440315,0.739108687,0.748639739,,,,,,,,
54,0.625554716,0.62521412,0.843390659,0.843523936,0.365007697,0.365124524,0.541915872,0.543264653,,,,,,,,
55,0.26436565,0.264611939,0.627606041,0.626612628,0.39769131,0.397792736,0.365292021,0.364857744,,,,,,,,
56,0.400863645,0.400505957,0.57328605,0.573963781,0.288402067,0.288619517,0.559091409,0.561078488,,,,,,,,
