ID,stimulus,DV
153,C,.032
153,BC,.167
153,G,.074
153,H,.008
153,J,.344
153,K,.015
153,JK,.058
153,T,.055
153,TJ,.5679999999999999
153,TJK,.103
154,A,.286
154,AB,.393
154,ABC,.41
154,R,.628
154,B,.736
154,C,.746
154,BC,.616
154,G,.639
154,H,.629
154,J,.732
154,K,.763
154,JK,.719
154,T,.598
154,TJ,.546
154,TJK,.5629999999999999
155,A,.421
155,AB,.324
155,ABC,.681
155,R,.086
155,B,.61
155,C,.515
155,BC,.19
155,G,.625
155,H,.621
155,J,.776
155,K,.511
155,JK,.607
155,T,.573
155,TJ,.6820000000000001
155,TJK,.794
156,A,.501
156,AB,.097
156,ABC,.023
156,R,.605
156,B,.582
156,C,.672
156,BC,.424
156,G,.605
156,H,.613
156,J,.441
156,K,.142
156,JK,.065
156,T,.5679999999999999
156,TJ,.243
156,TJK,.061
157,A,.012
157,AB,.247
157,ABC,.167
157,R,.606
157,B,.622
157,C,.768
157,BC,.433
157,G,.603
157,H,.608
157,J,.782
157,K,.327
157,JK,.743
157,T,.607
157,TJ,.606
157,TJK,.627
158,A,.516
158,AB,.617
158,ABC,.626
158,R,.613
158,B,.778
158,C,.773
158,BC,.656
158,G,.629
158,H,.624
158,J,.487
158,K,.665
158,JK,.712
158,T,.614
158,TJ,.573
158,TJK,.779
