ID,trial,stimulus,DV
123,7,BC,4.971193792
123,8,BC,4.991769924
123,9,BC,4.991769924
123,10,BC,4.983538969
123,1,B,1.131687337
123,2,B,4.329218233
123,3,B,1.065843621
123,4,B,1.024691358
123,5,B,1.053497974
123,6,B,1.04938281
123,7,B,1.090535074
123,8,B,1.000000063
123,9,B,1.01234571
123,10,B,1.000000063
123,1,C,2.987654509
123,2,C,1.135802501
123,3,C,1.020576194
123,4,C,1.020576194
123,5,C,1.008230547
123,6,C,1.037037006
123,7,C,4.893004115
123,8,C,4.979424119
123,9,C,1.01234571
123,10,C,1.020576194
124,1,BC,4.12065248
124,2,BC,4.929048592
124,3,BC,4.922109675
124,4,BC,4.91517044
124,5,BC,5
124,6,BC,3.058450089
124,7,BC,5
124,8,BC,5
124,9,BC,5
124,10,BC,5
124,1,B,2.982652548
124,2,B,1.095238095
124,3,B,1.074421025
124,4,B,1.070951567
124,5,B,2.626819673
124,6,B,2.973023099
124,7,B,1
124,8,B,1
124,9,B,1
124,10,B,1
124,1,C,3.034695223
124,2,C,1.095238095
124,3,C,1.112585707
124,4,C,1.057073573
124,5,C,1
124,6,C,1
124,7,C,1
124,8,C,1
124,9,C,1
124,10,C,1
125,1,BC,2.992039396
125,2,BC,4.564145603
125,3,BC,4.934344556
125,4,BC,4.890139547
125,5,BC,4.934673677
125,6,BC,1.09151198
125,7,BC,4.892895932
125,8,BC,4.906369306
125,9,BC,1.085176409
125,10,BC,4.95320728
125,1,B,3.049717779
125,2,B,1.050680457
125,3,B,1.047718372
125,4,B,1.059217022
125,5,B,1.061520866
125,6,B,2.987164297
125,7,B,1.094741476
125,8,B,1.059073032
125,9,B,1.071682464
125,10,B,1.087171702
125,1,C,2.986279785
125,2,C,1.813911105
125,3,C,1.061685427
125,4,C,1.031200632
125,5,C,1.043563224
125,6,C,1.061911697
125,7,C,1.096099098
125,8,C,1.066745656
125,9,C,1.13592269
125,10,C,1.056604627
126,1,BC,3.028806773
126,2,BC,4.975308642
126,3,BC,4.975308642
126,4,BC,4.975308642
126,5,BC,4.950617661
126,6,BC,2.995884836
126,7,BC,4.971193792
126,8,BC,4.971193792
126,9,BC,4.958847988
126,10,BC,4.975308642
126,1,B,3.012345805
